peak.id	CRX_Corbo	N50	HDmono	HDdimer	NRL	AP1
peak.1576	2	0	2	0	1	0
peak.1577	3	1	2	0	3	0
peak.1578	4	2	2	1	0	0
peak.1579	1	3	1	0	1	0
peak.158	2	1	2	0	2	0
peak.1580	2	1	1	0	0	1
peak.1581	3	1	2	0	0	1
peak.1582	2	1	2	0	1	1
peak.1583	3	0	3	0	0	0
peak.1584	1	0	1	0	0	2
peak.1585	1	1	0	0	1	3
peak.1586	2	0	1	0	1	1
peak.1587	2	0	2	0	0	1
peak.1588	1	0	1	0	0	1
peak.1589	2	0	1	0	0	0
peak.159	1	1	1	0	1	1
peak.1590	1	0	2	0	0	1
peak.1591	1	0	1	0	0	1
peak.1592	1	0	2	0	0	1
peak.1593	1	1	1	0	1	0
peak.1594	0	0	0	0	0	1
peak.1595	1	0	1	0	0	1
peak.1596	2	0	2	0	1	2
peak.1597	0	0	0	0	0	0
peak.1598	1	1	1	0	1	0
peak.1599	3	0	3	0	1	3
peak.16	1	0	1	0	0	0
peak.160	1	0	0	0	1	1
peak.1600	3	0	2	0	0	1
peak.1601	1	0	1	0	1	1
peak.1602	2	3	2	0	1	1
peak.1603	0	0	0	0	1	1
peak.1604	1	2	1	0	0	1
peak.1605	2	0	2	1	0	0
peak.1606	1	0	1	0	0	0
peak.1607	0	2	0	1	1	2
peak.1608	0	1	0	0	0	3
peak.1609	1	0	1	0	4	2
peak.161	1	0	1	0	2	0
peak.1610	3	0	2	0	1	0
peak.1611	0	0	0	0	0	0
peak.1612	3	2	3	0	1	0
peak.1613	0	0	0	0	1	0
peak.1614	0	0	0	0	1	0
peak.1615	0	0	0	0	1	0
peak.1616	2	0	2	0	2	0
peak.1617	1	1	1	0	0	0
peak.1618	1	0	1	0	0	0
peak.1619	0	0	0	0	2	0
peak.162	2	1	2	0	0	2
peak.1620	0	1	0	0	2	2
peak.1621	1	0	1	1	0	1
peak.1622	1	0	0	0	0	1
peak.1623	2	2	1	0	1	1
peak.1624	0	0	0	0	0	0
peak.1625	1	0	1	0	0	1
peak.1626	2	0	1	0	0	1
peak.1627	2	1	2	0	0	1
peak.1628	1	0	0	0	1	0
peak.1629	1	1	1	0	0	0
peak.163	2	0	2	0	0	0
peak.1630	2	0	3	0	0	0
peak.1631	2	0	2	0	0	0
peak.1632	1	0	1	0	1	0
peak.1633	1	0	1	0	0	2
peak.1634	0	0	0	0	0	2
peak.1635	1	0	1	0	1	1
peak.1636	0	0	2	0	2	0
peak.1637	2	0	2	0	1	2
peak.1638	2	0	3	0	0	0
peak.1639	0	0	0	0	0	0
peak.164	1	1	2	0	0	0
peak.1640	3	0	2	0	1	1
peak.1641	1	0	2	0	0	0
peak.1642	2	1	1	0	0	1
peak.1643	1	0	2	0	1	0
peak.1644	2	0	1	0	1	0
peak.1645	1	0	1	0	2	1
peak.1646	1	0	1	0	2	0
peak.1647	0	0	0	0	1	0
peak.1648	0	0	0	0	1	0
peak.1649	4	1	4	0	1	1
peak.165	1	0	1	0	1	0
peak.1650	0	0	0	0	2	0
peak.1651	0	1	0	0	0	1
peak.1652	2	0	4	0	0	0
peak.1653	0	0	1	0	0	0
peak.1654	5	0	5	0	0	3
peak.1655	1	0	1	0	1	0
peak.1656	1	1	1	0	1	0
peak.1657	2	0	2	0	1	1
peak.1658	1	1	1	0	0	2
peak.1659	2	0	2	1	0	0
peak.166	0	0	0	1	2	0
peak.1660	3	0	2	0	2	0
peak.1661	2	1	2	0	3	1
peak.1662	1	0	1	0	0	1
peak.1663	2	1	2	0	2	3
peak.1664	0	0	0	0	1	1
peak.1665	0	1	0	0	1	1
peak.1666	0	0	0	1	0	2
peak.1667	0	0	1	0	1	0
peak.1668	1	0	1	0	0	0
peak.1669	2	0	2	0	1	1
peak.167	2	3	0	0	2	3
peak.1670	2	0	2	0	2	1
peak.1671	3	0	1	0	0	0
peak.1672	1	0	1	0	0	0
peak.1673	2	2	2	0	0	2
peak.1674	2	2	2	0	0	1
peak.1675	1	0	1	0	0	1
peak.1676	0	1	0	0	1	0
peak.1677	0	0	0	0	3	1
peak.1678	1	0	1	0	0	1
peak.1679	1	0	1	0	0	0
peak.168	2	0	2	0	0	0
peak.1680	0	1	2	0	1	0
peak.1681	1	0	1	0	0	1
peak.1682	2	0	1	0	1	1
peak.1683	1	0	1	0	0	1
peak.1684	1	0	1	0	1	0
peak.1685	3	0	3	0	0	0
peak.1686	1	0	1	0	2	1
peak.1687	0	0	0	0	0	0
peak.1688	2	0	2	0	0	1
peak.1689	1	0	1	0	0	2
